Year,City,Population,In-migration,Out-migration,Net-migration
2014,KIRSEHIR,222707,10648,12199,-1551
2014,KOCAELI,1722795,79697,55060,24637
2014,KONYA,2108808,55798,55453,345
2014,KUTAHYA,571554,18734,21860,-3126
2014,MALATYA,769544,29285,31476,-2191
2014,MANISA,1367905,35570,38432,-2862
2014,KAHRAMANMARAS,1089038,27619,30903,-3284
2014,MARDIN,788996,22207,30796,-8589
2014,MUGLA,894509,48219,29671,18548
2014,MUS,411216,12077,22688,-10611
2014,NEVSEHIR,286250,10164,13165,-3001
2014,NIGDE,343898,13785,17946,-4161
2014,ORDU,724268,28555,39937,-11382
2014,RIZE,329779,17311,17932,-621
2014,SAKARYA,932706,32701,28311,4390
2014,SAMSUN,1269989,41057,44519,-3462
2014,SIIRT,318366,10551,14366,-3815
2014,SINOP,204526,10783,11950,-1167
2014,SIVAS,623116,29726,34855,-5129
2014,TEKIRDAG,906732,52994,31266,21728
2014,TOKAT,597920,35891,38737,-2846
2014,TRABZON,766782,31847,29741,2106
2014,TUNCELI,86527,7286,6810,476
2014,SANLIURFA,1845667,35670,49030,-13360
2014,USAK,349459,10190,10895,-705
2014,VAN,1085542,27587,44435,-16848
2014,YOZGAT,432560,16200,27722,-11522
2014,ZONGULDAK,598796,18115,24783,-6668
2014,AKSARAY,384252,11936,14577,-2641
2014,BAYBURT,80607,8912,5583,3329
2014,KARAMAN,240362,8673,9788,-1115
2014,KIRIKKALE,271092,13306,18744,-5438
2014,BATMAN,557593,18543,21515,-2972
2014,SIRNAK,488966,12749,16142,-3393
2014,BARTIN,189405,7794,8903,-1109
2014,ARDAHAN,100809,5323,8033,-2710
2014,IGDIR,192056,7407,9453,-2046
2014,YALOVA,226514,14680,11064,3616
2014,KARABUK,231333,13438,13195,243
2014,KILIS,128781,5759,7451,-1692
2014,OSMANIYE,506807,17880,18214,-334
2014,DUZCE,355549,11980,12249,-269
2013,ADANA,2149260,50598,62933,-12335
2013,ADIYAMAN,597184,15715,24077,-8362
2013,AFYONKARAHISAR,707123,22200,26799,-4599
2013,AGRI,551177,14725,28477,-13752
2013,AMASYA,321977,12379,14658,-2279
2013,ANKARA,5045083,186642,153791,32851
2013,ANTALYA,2158265,88605,64075,24530
2013,ARTVIN,169334,10053,8644,1409
2013,AYDIN,1020957,34688,32338,2350
2013,BALIKESIR,1162761,38710,39688,-978
2013,BILECIK,208888,10231,9202,1029
2013,BINGOL,265514,10968,10940,28
